Model,Accuracy,Precision,Recall,F1 Score
Linear SVM,0.8197064989517819,0.8213275101716109,0.8197064989517819,0.8204646753938386
Logistic Regression,0.7920335429769392,0.8098488127008482,0.7920335429769392,0.79820103254005
Naive Bayes,0.790775681341719,0.7957027406134903,0.790775681341719,0.766190265518425
