Model,Accuracy,Precision,Recall,F1 Score
Linear SVM,0.8197064989517819,0.8213275101716109,0.8197064989517819,0.8204646753938386
Simple RNN,0.785175879396985,0.708710835505094,0.6751375367026587,0.6884149898669368
LSTM,0.7956448911222781,0.717697813770029,0.7481590760534816,0.7310305989039222
